Table,Pre_U_Mean,Pre_C_Mean,Pre_U_RMS,Pre_C_RMS,Ave_U_Mean,Ave_C_Mean,Ave_U_RMS,Ave_C_RMS
1010_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0106566846631,0.0548324051669,0.000351277418947,0.0246949810785
1010_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.00904395059091,0.054687628708,0.00071535961366,0.0261996156207
1010_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0104819169954,0.0407411427079,0.000536777397024,0.0175296776338
1010_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0112168501053,0.0344754402317,0.000920071013279,0.0140397865394
1010_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0199703834101,0.0297943891203,0.00568184517591,0.0113134562229
1010_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0253643870429,0.0335102832064,0.00881029349585,0.0135013359503
1015_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0224803148107,0.0364558976955,0.00760275719422,0.0155265309553
1015_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0209218606648,0.033667444587,0.00670105915428,0.0136465671668
1015_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0239799232025,0.0354188109171,0.00876098897418,0.0149032080011
1015_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.023428285822,0.0344991141015,0.00803580078177,0.0135007669556
1015_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0304196093279,0.0329215145278,0.011791901202,0.0123457151353
1015_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0288026327682,0.0352210891262,0.0108180457496,0.01335659617
101_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0269311256832,0.0359663049404,0.00999845595286,0.01420599477
101_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0261792749346,0.033482669601,0.00949390513222,0.0131993983335
